DATASET_ID,DATASET_NAME,WEIGHT_SEED,MODEL_SEED,SET,DAG,MODEL,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
74,ds_074,12419,42,OF,GES,LightGBM,47,0.04,10.809414863586426,0.9332276671660479,0.4797250032496231,0.5,0.016322692692513713,0.01586352276850408
75,ds_075,12420,42,OF,GES,LightGBM,47,0.14,8.365811109542847,0.9317476170831795,0.4780404511265076,0.4838709677419355,0.01678584383228787,0.0163618339590522
76,ds_076,12421,42,OF,GES,LightGBM,47,0.22,10.813052892684937,0.9366328679679529,0.49577714253953153,0.4793388429752066,0.016442508984047713,0.016047886103410697
77,ds_077,12422,42,OF,GES,LightGBM,47,0.1,8.317368030548096,0.9348633215363571,0.4854673825241636,0.47619047619047616,0.016565091597282772,0.01647060474485761
78,ds_078,12423,42,OF,GES,LightGBM,47,0.03,10.89264702796936,0.9376497238928574,0.47935812383691834,0.49645390070921985,0.01647984114562815,0.01683453935263907
79,ds_079,12424,42,OF,GES,LightGBM,47,0.4,10.629360914230347,0.9352975660594481,0.48342363181709225,0.4666666666666667,0.01669906526585581,0.016550214545079676
80,ds_080,12425,42,OF,GES,LightGBM,47,0.01,10.833669424057007,0.9346461992748116,0.47739192826773424,0.49056603773584906,0.01722362805724442,0.017053737458718764
81,ds_081,12426,42,OF,GES,LightGBM,47,0.06,10.87381911277771,0.9336800052109343,0.4961495250696205,0.4806201550387597,0.01659314108458939,0.016749596247764776
82,ds_082,12427,42,OF,GES,LightGBM,47,0.11,10.815510272979736,0.933904364881198,0.4935494672919982,0.448,0.016793981464204986,0.016971537714975088
83,ds_083,12428,42,OF,GES,LightGBM,47,0.01,10.82703447341919,0.9297681857987566,0.4826771303469037,0.48148148148148145,0.01656774707243099,0.0160263278630319
84,ds_084,12429,42,OF,GES,LightGBM,47,0.01,8.325647592544556,0.9359851198876755,0.484010960624821,0.4875,0.016862435392004625,0.01698998661591559
85,ds_085,12430,42,OF,GES,LightGBM,47,0.12,10.85092306137085,0.9350912999109798,0.4843733034779718,0.48,0.01667037013537554,0.016401524936888307
86,ds_086,12431,42,OF,GES,LightGBM,47,0.01,8.259548902511597,0.9352830912420117,0.47887259444028807,0.4720496894409938,0.01676539401796521,0.01670234723634738
87,ds_087,12432,42,OF,GES,LightGBM,47,0.01,10.872856378555298,0.9308863654457158,0.4859047497172631,0.475,0.01664477059604754,0.016670838436971352
88,ds_088,12433,42,OF,GES,LightGBM,47,0.01,10.811524391174316,0.9366147744461573,0.4969775669805405,0.4968152866242038,0.016212417210761474,0.01645518764362911
89,ds_089,12434,42,OF,GES,LightGBM,47,0.03,10.845734596252441,0.9376605800059348,0.48568597622487086,0.5174825174825175,0.01662736056367576,0.016430652763081928
90,ds_090,12435,42,OF,GES,LightGBM,47,0.15,10.903494358062744,0.9344507892394207,0.4765814754079736,0.4628099173553719,0.01683175357659768,0.016632935300674324
91,ds_091,12436,42,OF,GES,LightGBM,47,0.02,10.690277814865112,0.9349176021017435,0.47956446013099047,0.4897959183673469,0.01676140685288419,0.016135068476619673
92,ds_092,12437,42,OF,GES,LightGBM,47,0.01,10.813161849975586,0.9310383510287976,0.4781269844600232,0.49032258064516127,0.01655548785628747,0.016668084203670955
93,ds_093,12438,42,OF,GES,LightGBM,47,0.04,8.314949989318848,0.9304123151746749,0.47536325546957653,0.5072463768115942,0.016663434044802465,0.016567947946436457
94,ds_094,12439,42,OF,GES,LightGBM,47,0.01,10.81642198562622,0.9359597889571618,0.45855173494304524,0.4779874213836478,0.017114976543014585,0.017297907833975168
95,ds_095,12440,42,OF,GES,LightGBM,47,0.1,8.266006231307983,0.9352649977202162,0.48281668360196495,0.47244094488188976,0.01717651386303674,0.017202630607853833
96,ds_096,12441,42,OF,GES,LightGBM,47,0.12,10.86782455444336,0.9359670263658799,0.47812021034123436,0.484375,0.01670983339134728,0.016622461298536027
97,ds_097,12442,42,OF,GES,LightGBM,47,0.01,10.881163120269775,0.9334556455406706,0.4915135289512891,0.5063291139240507,0.016504256525183197,0.016342362449505713
98,ds_098,12443,42,OF,GES,LightGBM,47,0.01,10.85116195678711,0.932833228390907,0.4956059365028724,0.5032258064516129,0.01637929278210234,0.0164414198980481
99,ds_099,12444,42,OF,GES,LightGBM,47,0.01,10.900893688201904,0.9331335808527115,0.48426725355016614,0.4779874213836478,0.016425578184223952,0.015967552642533196
