SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,LightGBM,21,34,b6f5c3753592fbac,0.9232870862916241,0.4642726380517322,0.4892086330935252,0.0168277130451522,0.016246332199344342
OF,GES,Logit,21,34,b6f5c3753592fbac,0.9190097777391784,0.24061267489632257,0.367816091954023,0.019866295181277086,0.01042220748921275
OF,GES,FFMLP,21,34,b6f5c3753592fbac,0.8740690883036237,0.2530017688235606,0.37988826815642457,0.019598498277948413,0.006301975816588245
OF,GES,XGBoost,22,35,62c0349a1ac0df37,0.9416556296183716,0.47111354016400975,0.48,0.016126374361964152,0.011607970191003857
OF,GES,LightGBM,22,35,62c0349a1ac0df37,0.9268913158332791,0.4697705524973135,0.5106382978723404,0.016496441346100718,0.016447934509087974
OF,GES,RF,22,35,62c0349a1ac0df37,0.92294511872969,0.4056129838176723,0.39408866995073893,0.016415034945485043,0.003224489795918367
OF,GES,Logit,22,35,62c0349a1ac0df37,0.9190387273740511,0.24237807482905405,0.35428571428571426,0.0198225539699171,0.010411989659201433
OF,GES,FFMLP,22,35,62c0349a1ac0df37,0.8718472038271416,0.2489719508753991,0.34517766497461927,0.019683734234322944,0.007053510354389716
OF,GES,XGBoost,23,36,d832fe6ef0aac2d6,0.9397123853775393,0.462388136611187,0.48717948717948717,0.015882537558323622,0.010756321470163345
OF,GES,RF,23,36,d832fe6ef0aac2d6,0.9348705589450753,0.4368184724572361,0.39631336405529954,0.01597150796757059,0.005277606933184233
OF,GES,LightGBM,23,36,d832fe6ef0aac2d6,0.9259504526999154,0.46845850623984814,0.3783783783783784,0.01707485388679678,0.01678582542069283
OF,GES,Logit,23,36,d832fe6ef0aac2d6,0.9197588495415101,0.24695049773395697,0.3448275862068966,0.01981075330363063,0.010293931412156492
OF,GES,FFMLP,23,36,d832fe6ef0aac2d6,0.894413444210435,0.27147513622803776,0.4074074074074074,0.018991114063512716,0.007093311104426711
